Name,NumWords,FirstName,MiddleName,LastName
Leonard Jewkes,2,Leonard,,Jewkes
Caractacus Burke,2,Caractacus,,Burke
J.K. Rowling,2,J.K.,,Rowling
Thorsten Pfeffer,2,Thorsten,,Pfeffer
Hannah Cockleford,2,Hannah,,Cockleford
Adrian Pucey,2,Adrian,,Pucey
Emeric Switch,2,Emeric,,Switch
Pandora Lovegood,2,Pandora,,Lovegood
Indira Gandhi,2,Indira,,Gandhi
Delphini Diggory,2,Delphini,,Diggory
Walden Macnair,2,Walden,,Macnair
Lucy Weasley,2,Lucy,,Weasley
Dugald McPhail,2,Dugald,,McPhail
Petrova Porskoff,2,Petrova,,Porskoff
Gonçalo Flores,2,Gonçalo,,Flores
Rupert Murdoch,2,Rupert,,Murdoch
Elphias Doge,2,Elphias,,Doge
Hepzibah Smith,2,Hepzibah,,Smith
Euan Abercrombie,2,Euan,,Abercrombie
Benazir Bhutto,2,Benazir,,Bhutto
Herman Wintringham,2,Herman,,Wintringham
Otto Obermeier,2,Otto,,Obermeier
Jackie Jernigan,2,Jackie,,Jernigan
Hesphaestus Gore,2,Hesphaestus,,Gore
Quentin Kowalski,2,Quentin,,Kowalski
Justin Spitzer,2,Justin,,Spitzer
Stephen Cornfoot,2,Stephen,,Cornfoot
Daisy Dodderidge,2,Daisy,,Dodderidge
Michael Corner,2,Michael,,Corner
Hilliard Hobday,2,Hilliard,,Hobday
Georgina Smyth,2,Georgina,,Smyth
Willi Wenzel,2,Willi,,Wenzel
Babe Ruth,2,Babe,,Ruth
Seraphina Picquery,2,Seraphina,,Picquery
Marie Curie,2,Marie,,Curie
Rancorous Carpe,2,Rancorous,,Carpe
Goyle Sr.,2,Goyle,,Sr.
Otmar Frick,2,Otmar,,Frick
Harold Dingle,2,Harold,,Dingle
Ernie Macmillan,2,Ernie,,Macmillan
Evangeline Orpington,2,Evangeline,,Orpington
Augustus Pye,2,Augustus,,Pye
Rose Granger-Weasley,2,Rose,,Granger-Weasley
Phineas Fletcher,2,Phineas,,Fletcher
Joseph Snuka,2,Joseph,,Snuka
Eric Munch,2,Eric,,Munch
Mallory Twiddle,2,Mallory,,Twiddle
Torquil Travers,2,Torquil,,Travers
Kevin Malone,2,Kevin,,Malone
Charles Darwin,2,Charles,,Darwin
Luna Lovegood,2,Luna,,Lovegood
Madam Hooch,2,Madam,,Hooch
Charlie Baverstock,2,Charlie,,Baverstock
Richard Branson,2,Richard,,Branson
Barnabus Blenkinsop,2,Barnabus,,Blenkinsop
Bruno Schmidt,2,Bruno,,Schmidt
Anthony Goldstein,2,Anthony,,Goldstein
Royden Poke,2,Royden,,Poke
Ulick Gamp,2,Ulick,,Gamp
George Clooney,2,George,,Clooney
Franziska Faust,2,Franziska,,Faust
Ethelbald Mordaunt,2,Ethelbald,,Mordaunt
Maisie Cattermole,2,Maisie,,Cattermole
Nerida Vulchanova,2,Nerida,,Vulchanova
Dymphna Furmage,2,Dymphna,,Furmage
Horace Slughorn,2,Horace,,Slughorn
Dexter Fortescue,2,Dexter,,Fortescue
Harfang Munter,2,Harfang,,Munter
Joey Jenkins,2,Joey,,Jenkins
Lucius Malfoy,2,Lucius,,Malfoy
Urquhart Rackharrow,2,Urquhart,,Rackharrow
Colin Creevey,2,Colin,,Creevey
Amelia Earhart,2,Amelia,,Earhart
Stephen Hawking,2,Stephen,,Hawking
Angelina Johnson,2,Angelina,,Johnson
Benjy Williams,2,Benjy,,Williams
Elizabeth McGilliguddy,2,Elizabeth,,McGilliguddy
Amycus Carrow,2,Amycus,,Carrow
Jan Levinson,2,Jan,,Levinson
Eldred Worple,2,Eldred,,Worple
Millicent Bagnold,2,Millicent,,Bagnold
Lorcan McLaird,2,Lorcan,,McLaird
Euphemia Rowle,2,Euphemia,,Rowle
Georgi Zdravko,2,Georgi,,Zdravko
Yann Fredericks,2,Yann,,Fredericks
Callidora Black,2,Callidora,,Black
Oscar Wilde,2,Oscar,,Wilde
John F. Kennedy,3,John,F.,Kennedy
Barnaby Snell,2,Barnaby,,Snell
Alasdair Maddock,2,Alasdair,,Maddock
Mustafa Kama,2,Mustafa,,Kama
Dennis Creevey,2,Dennis,,Creevey
Audrey Weasley,2,Audrey,,Weasley
Aliko Okoye,2,Aliko,,Okoye
Kendra Dumbledore,2,Kendra,,Dumbledore
Florence Nightingale,2,Florence,,Nightingale
Grogan Stump,2,Grogan,,Stump
Florean Fortescue,2,Florean,,Fortescue
Ignatius Tuft,2,Ignatius,,Tuft
Bill Weasley,2,Bill,,Weasley
Romilda Vane,2,Romilda,,Vane
Phoebus Penrose,2,Phoebus,,Penrose
Benjy Fenwick,2,Benjy,,Fenwick
Dylan Marwood,2,Dylan,,Marwood
Arnie Peasegood,2,Arnie,,Peasegood
Nymphadora Tonks,2,Nymphadora,,Tonks
Vincent Crabbe,2,Vincent,,Crabbe
Dorcus Twelvetrees,2,Dorcus,,Twelvetrees
Merton Graves,2,Merton,,Graves
Phineas Black,2,Phineas,,Black
Quintius Umfraville,2,Quintius,,Umfraville
Kennilworthy Whisp,2,Kennilworthy,,Whisp
Doris Purkiss,2,Doris,,Purkiss
Erin Hannon,2,Erin,,Hannon
Woodrow Wilson,2,Woodrow,,Wilson
Alastor Gumboil,2,Alastor,,Gumboil
Eldon Elsrickle,2,Eldon,,Elsrickle
Uncle Nobby,2,Uncle,,Nobby
Franklin D. Roosevelt,3,Franklin,D.,Roosevelt
Ariana Dumbledore,2,Ariana,,Dumbledore
Selina Sapworthy,2,Selina,,Sapworthy
Arturo Cephalopos,2,Arturo,,Cephalopos
Augustus Worme,2,Augustus,,Worme
Carlos Clodoaldo,2,Carlos,,Clodoaldo
Ryan Howard,2,Ryan,,Howard
Arnold Guzman,2,Arnold,,Guzman
Ciceron Harkiss,2,Ciceron,,Harkiss
Rodolphus Lestrange,2,Rodolphus,,Lestrange
Roy Anderson,2,Roy,,Anderson
Myrtle Warren,2,Myrtle,,Warren
Karl Jenkins,2,Karl,,Jenkins
James Potter,2,James,,Potter
Dempster Wiggleswade,2,Dempster,,Wiggleswade
Gawain Robards,2,Gawain,,Robards
Johannes Jonker,2,Johannes,,Jonker
Wilhelm Fischer,2,Wilhelm,,Fischer
Darryl Philbin,2,Darryl,,Philbin
Dorcas Wellbeloved,2,Dorcas,,Wellbeloved
Percival Dumbledore,2,Percival,,Dumbledore
Antioch Peverell,2,Antioch,,Peverell
Leo Tolstoy,2,Leo,,Tolstoy
Quintia Qarase,2,Quintia,,Qarase
Heathcote Barbary,2,Heathcote,,Barbary
Idris Oakby,2,Idris,,Oakby
Perenelle Flamel,2,Perenelle,,Flamel
Valentina Vázquez,2,Valentina,,Vázquez
Professor Tofty,2,Professor,,Tofty
Lucas Bargeworthy,2,Lucas,,Bargeworthy
Mao Zedong,2,Mao,,Zedong
Galvin Gudgeon,2,Galvin,,Gudgeon
Distractible Douglas,2,Distractible,,Douglas
Sirius Black,2,Sirius,,Black
Radolphus Pittiman,2,Radolphus,,Pittiman
Charles Miner,2,Charles,,Miner
Stewart Ackerley,2,Stewart,,Ackerley
Eunice Murray,2,Eunice,,Murray
Bruno Bruunhart,2,Bruno,,Bruunhart
Rufus Scrimgeour,2,Rufus,,Scrimgeour
Roman Abramovich,2,Roman,,Abramovich
Guthrie Lochrin,2,Guthrie,,Lochrin
Corvinus Gaunt,2,Corvinus,,Gaunt
Mentor Metaxas,2,Mentor,,Metaxas
Samuel Plunkett,2,Samuel,,Plunkett
Shanice Higgins,2,Shanice,,Higgins
Abraxas Malfoy,2,Abraxas,,Malfoy
Madam Rosmerta,2,Madam,,Rosmerta
Hippocrates Smethwyck,2,Hippocrates,,Smethwyck
Mnemone Radford,2,Mnemone,,Radford
Marilyn Monroe,2,Marilyn,,Monroe
Finbar Quigley,2,Finbar,,Quigley
Bertie Higgs,2,Bertie,,Higgs
Herbert Beery,2,Herbert,,Beery
Yusuf Kama,2,Yusuf,,Kama
Marietta Edgecombe,2,Marietta,,Edgecombe
Albus Potter,2,Albus,,Potter
Torquil MacTavish,2,Torquil,,MacTavish
Glinda Crook,2,Glinda,,Crook
Helbert Spleen,2,Helbert,,Spleen
Cassandra Trelawney,2,Cassandra,,Trelawney
Ron Weasley,2,Ron,,Weasley
Tony Silva,2,Tony,,Silva
Celestina Warbeck,2,Celestina,,Warbeck
Graham Pritchard,2,Graham,,Pritchard
Havelock Sweeting,2,Havelock,,Sweeting
Bertha Jorkins,2,Bertha,,Jorkins
Geoffrey Hooper,2,Geoffrey,,Hooper
Sue Li,2,Sue,,Li
Josiah Plunkett,2,Josiah,,Plunkett
Angus Campbell,2,Angus,,Campbell
Hector Bolobolo,2,Hector,,Bolobolo
Elsie Prod,2,Elsie,,Prod
Mervyn Fenwick,2,Mervyn,,Fenwick
Goodwin Kneen,2,Goodwin,,Kneen
Gideon Prewett,2,Gideon,,Prewett
Hamish MacFarlan,2,Hamish,,MacFarlan
Madam Malkin,2,Madam,,Malkin
Kenneth Towler,2,Kenneth,,Towler
Elizabeth Smudgling,2,Elizabeth,,Smudgling
David Wallace,2,David,,Wallace
Septimus Weasley,2,Septimus,,Weasley
Pollux Black,2,Pollux,,Black
Barnabas Deverill,2,Barnabas,,Deverill
Derwent Shimpling,2,Derwent,,Shimpling
Orion Black,2,Orion,,Black
Minerva McGonagall,2,Minerva,,McGonagall
Nobby Leach,2,Nobby,,Leach
Perpetua Fancourt,2,Perpetua,,Fancourt
Royston Idlewind,2,Royston,,Idlewind
Barnabus Finkley,2,Barnabus,,Finkley
Nugent Potts,2,Nugent,,Potts
Randolph Spudmore,2,Randolph,,Spudmore
Falco Aesalon,2,Falco,,Aesalon
Angelina Jolie,2,Angelina,,Jolie
